;"incorrect_sentence";"correct_sentences";"topics";"entered"
484;"I didn't find a suitable job yet.";"I haven't found a suitable job yet.";"Tenses";"2024-08-07 09:08:26.969035"
485;"Before I came to Ireland, I don't know how to cook.";"Before I came to Ireland, I didn't know how to cook.";"Tenses";"2024-08-07 09:08:26.969035"
486;"He always singing and telling jokes.";"He's always singing and telling jokes.";"Tenses";"2024-08-07 09:08:26.969035"
487;"I've never went to this airport.";"I've never been to this airport.";"Tenses";"2024-08-07 09:08:26.969035"
488;"I didn't see it yet.";"I haven't seen it yet.";"Tenses";"2024-08-07 09:08:26.969035"
489;"Do anyone here know how to drive?";"Does anyone here know how to drive?";"Subject-Verb Agreement (he/she/it)";"2024-08-07 09:08:26.969035"
490;"Sao Paulo have the biggest exhibitions.";"Sao Paulo has the biggest exhibitions.";"Subject-Verb Agreement (he/she/it)";"2024-08-07 09:08:26.969035"
491;"The bus don't have a roof.";"The bus doesn't have a roof.";"Subject-Verb Agreement (he/she/it)";"2024-08-07 09:08:26.969035"
492;"Every people watch movies in English.";"Everyone/Everybody watches movies in English.";"Subject-Verb Agreement (he/she/it)";"2024-08-07 09:08:26.969035"
493;"When you change your country, the price change.";"When you change your country, the price changes.";"Subject-Verb Agreement (he/she/it)";"2024-08-07 09:08:26.969035"
494;"In Europe, more people is old than young.";"In Europe, more people are old than young.";"Subject-Verb Agreement (he/she/it)";"2024-08-07 09:08:26.969035"
495;"There are too much traffic.";"There's too much traffic.";"There + BE / Have
Subject-Verb Agreement (he/she/it)";"2024-08-07 09:08:26.969035"
496;"There are a lot of history.";"There's a lot of history.";"There + BE / Have
Subject-Verb Agreement (he/she/it)";"2024-08-07 09:08:26.969035"
497;"If another person don't come, you have the place to yourself.";"If another person doesn't come, you have the place to yourself.
If no one else comes, you have the place to yourself.";"Subject-Verb Agreement (he/she/it)";"2024-08-07 09:08:26.969035"
498;"We was really nervous.";"We were really nervous.";"Subject-Verb Agreement (he/she/it)";"2024-08-07 09:08:26.969035"
499;"When we was this age, things was different.";"When we were this age, things were different.";"Subject-Verb Agreement (he/she/it)";"2024-08-07 09:08:26.969035"
500;"We was there all day.";"We were there all day.";"Subject-Verb Agreement (he/she/it)";"2024-08-07 09:08:26.969035"
501;"Every company have rules.";"Every company has rules.";"Subject-Verb Agreement (he/she/it)";"2024-08-07 09:08:26.969035"
502;"Children is the future of the world.";"Children are the future of the world.";"Subject-Verb Agreement (he/she/it)";"2024-08-07 09:08:26.969035"
503;"It change all the time.";"It changes all the time.";"Subject-Verb Agreement (he/she/it)";"2024-08-07 09:08:26.969035"
504;"Some people is very aggressive.";"Some people are very aggressive.";"Subject-Verb Agreement (he/she/it)";"2024-08-07 09:08:26.969035"
505;"Your mind don't start working.";"Your mind doesn't start working.";"Subject-Verb Agreement (he/she/it)";"2024-08-07 09:08:26.969035"
506;"Most of the people here it's Brazilian.";"Most of the people here are Brazilian.";"Subject-Verb Agreement (he/she/it)";"2024-08-07 09:08:26.969035"
507;"You don't know who tell the story.";"You don't know who tells the story.";"Subject-Verb Agreement (he/she/it)";"2024-08-07 09:08:26.969035"
508;"This book make you think about life.";"This book makes you think about life.";"Subject-Verb Agreement (he/she/it)";"2024-08-07 09:08:26.969035"
509;"It's depressing, but have a happy ending.";"It's depressing, but it has a happy ending.";"Subject-Verb Agreement (he/she/it)";"2024-08-07 09:08:26.969035"
510;"This book teach us about mindfulness.";"This book teaches us about mindfulness.";"Subject-Verb Agreement (he/she/it)";"2024-08-07 09:08:26.969035"
511;"The saga have three books.";"The saga has three books.";"Subject-Verb Agreement (he/she/it)";"2024-08-07 09:08:26.969035"
512;"Each person have a private space.";"Each person has a private space.";"Subject-Verb Agreement (he/she/it)";"2024-08-07 09:08:26.969035"
513;"The company don't pay anything.";"The company doesn't pay anything.";"Subject-Verb Agreement (he/she/it)";"2024-08-07 09:08:26.969035"
514;"This region have many dangerous diseases.";"This region has many dangerous diseases.";"Subject-Verb Agreement (he/she/it)";"2024-08-07 09:08:26.969035"
515;"The rock have a shape like a cup.";"The rock has a shape like a cup.";"Subject-Verb Agreement (he/she/it)";"2024-08-07 09:08:26.969035"
516;"My mom live on a farm.";"My mom lives on a farm.";"Subject-Verb Agreement (he/she/it)";"2024-08-07 09:08:26.969035"
517;"There is some zoos where the animals are treated well.";"There are some zoos where the animals are treated well.";"There + BE / Have
Subject-Verb Agreement (he/she/it)";"2024-08-07 09:08:26.969035"
518;"Dogs is better than cats.";"Dogs are better than cats.";"Subject-Verb Agreement (he/she/it)";"2024-08-07 09:08:26.969035"
519;"Everybody agree.";"Everybody agrees.";"Subject-Verb Agreement (he/she/it)";"2024-08-07 09:08:26.969035"
520;"He prefer to do it his own way.";"He prefers to do it his own way.";"Subject-Verb Agreement (he/she/it)";"2024-08-07 09:08:26.969035"
521;"River fish is better than fish from the ocean.";"River fish are better than fish from the ocean.";"Subject-Verb Agreement (he/she/it)";"2024-08-07 09:08:26.969035"
522;"Every people have to read Russian writers.";"Everyone has to read Russian writers.";"Subject-Verb Agreement (he/she/it)";"2024-08-07 09:08:26.969035"
523;"It's something that remind me of my childhood.";"It's something that reminds me of my childhood.";"Subject-Verb Agreement (he/she/it)";"2024-08-07 09:08:26.969035"
524;"All the people was scared.";"All the people were scared.
Everyone/Everybody was scared.";"Subject-Verb Agreement (he/she/it)";"2024-08-07 09:08:26.969035"
525;"Nobody in my family want to have children.";"Nobody in my family wants to have children.";"Subject-Verb Agreement (he/she/it)";"2024-08-07 09:08:26.969035"
526;"We met when we was 11.";"We met when we were 11.";"Subject-Verb Agreement (he/she/it)";"2024-08-07 09:08:26.969035"
527;"My feet was very uncomfortable.";"My feet were very uncomfortable.";"Subject-Verb Agreement (he/she/it)";"2024-08-07 09:08:26.969035"
528;"He do illegal things with his computer.";"He does illegal things with his computer.";"Subject-Verb Agreement (he/she/it)";"2024-08-07 09:08:26.969035"
529;"It came out in 2016 and have three seasons.";"It came out in 2016 and has three seasons.";"Subject-Verb Agreement (he/she/it)";"2024-08-07 09:08:26.969035"
530;"The cave start to collapse, so they can't escape.";"The cave starts to collapse, so they can't escape.";"Subject-Verb Agreement (he/she/it)";"2024-08-07 09:08:26.969035"
531;"Everyone that know tennis know him.";"Everyone that knows tennis knows him.";"Subject-Verb Agreement (he/she/it)";"2024-08-07 09:08:26.969035"
532;"Lots of money don't make you happy.";"Lots of money doesn't make you happy.";"Subject-Verb Agreement (he/she/it)";"2024-08-07 09:08:26.969035"
533;"There is a lot of people who stay home during their holidays.";"There are a lot of people who stay home during their holidays.";"There + BE / Have
Subject-Verb Agreement (he/she/it)";"2024-08-07 09:08:26.969035"
534;"My brain don't work in the morning.";"My brain doesn't work in the morning.";"Subject-Verb Agreement (he/she/it)";"2024-08-07 09:08:26.969035"
535;"This kind of mindset change your body.";"This kind of mindset changes your body.";"Subject-Verb Agreement (he/she/it)";"2024-08-07 09:08:26.969035"
536;"There were a lot of information.";"There was a lot of information.";"There + BE / Have
Subject-Verb Agreement (he/she/it)";"2024-08-07 09:08:26.969035"
537;"You was alone on this date?";"Were you alone on this date?
You were alone on this date?";"Subject-Verb Agreement (he/she/it)
Questions";"2024-08-07 09:08:26.969035"
538;"A lot of fans says they don't feel safe.";"A lot of fans say they don't feel safe.";"Subject-Verb Agreement (he/she/it)";"2024-08-07 09:08:26.969035"
539;"All wedding ceremonies is the same.";"All wedding ceremonies are the same.";"Subject-Verb Agreement (he/she/it)";"2024-08-07 09:08:26.969035"
540;"It's a city that never sleep.";"It's a city that never sleeps.";"Subject-Verb Agreement (he/she/it)";"2024-08-07 09:08:26.969035"
541;"Our people is like that.";"Our people are like that.";"Subject-Verb Agreement (he/she/it)";"2024-08-07 09:08:26.969035"
542;"This guy don't has these values.";"This guy doesn't have these values.";"Tenses
Subject-Verb Agreement (he/she/it)";"2024-08-07 09:08:26.969035"
543;"Most of the people in Ireland is lovely.";"Most of the people in Ireland are lovely.";"Subject-Verb Agreement (he/she/it)";"2024-08-07 09:08:26.969035"
544;"The people in Ireland doesn't have this desire.";"The people in Ireland don't have this desire.";"Subject-Verb Agreement (he/she/it)";"2024-08-07 09:08:26.969035"
545;"My city don't have a good university.";"My city doesn't have a good university.";"Subject-Verb Agreement (he/she/it)";"2024-08-07 09:08:26.969035"
546;"War don't solve anything.";"War doesn't solve anything.";"Subject-Verb Agreement (he/she/it)";"2024-08-07 09:08:26.969035"
547;"All the informations are important.";"All the information is important.";"Subject-Verb Agreement (he/she/it)";"2024-08-07 09:08:26.969035"
548;"You looks like your mother.";"You look like your mother.";"Subject-Verb Agreement (he/she/it)";"2024-08-07 09:08:26.969035"
549;"We was going through a sad moment.";"We were going through a sad moment.";"Subject-Verb Agreement (he/she/it)";"2024-08-07 09:08:26.969035"
550;"Not everyone have to have a car.";"Not everyone has to have a car.";"Subject-Verb Agreement (he/she/it)";"2024-08-07 09:08:26.969035"
551;"Everyone have their own idea of success.";"Everyone has their own idea of success.";"Subject-Verb Agreement (he/she/it)";"2024-08-07 09:08:26.969035"
552;"It's difficult when my family say me I can't do something.";"It's difficult when my family says I can't do something.
It's difficult when my family tells me I can't do something.";"Word Confusion
Subject-Verb Agreement (he/she/it)";"2024-08-07 09:08:26.969035"
553;"He learn different things on each planet.";"He learns different things on each planet.";"Subject-Verb Agreement (he/she/it)";"2024-08-07 09:08:26.969035"
554;"Some tales is funny, some is sad.";"Some tales are funny, some are sad.";"Subject-Verb Agreement (he/she/it)";"2024-08-07 09:08:26.969035"
555;"My best friend always push me to do things.";"My best friend always pushes me to do things.";"Subject-Verb Agreement (he/she/it)";"2024-08-07 09:08:26.969035"
556;"Each person have their own personality.";"Each person has their own personality.";"Subject-Verb Agreement (he/she/it)";"2024-08-07 09:08:26.969035"
557;"Irish people is really friendly.";"Irish people are really friendly.";"Subject-Verb Agreement (he/she/it)";"2024-08-07 09:08:26.969035"
558;"Cork have a lot of pubs.";"Cork has a lot of pubs.";"Subject-Verb Agreement (he/she/it)";"2024-08-07 09:08:26.969035"
559;"Some people doesn't like physical contact.";"Some people don't like physical contact.";"Subject-Verb Agreement (he/she/it)";"2024-08-07 09:08:26.969035"
560;"Of all the presidents, he's the only one who don't come from a wealthy background.";"Of all the presidents, he's the only one who doesn't come from a wealthy background.";"Subject-Verb Agreement (he/she/it)";"2024-08-07 09:08:26.969035"
561;"It's a person who play music.";"It's a person who plays music.";"Subject-Verb Agreement (he/she/it)";"2024-08-07 09:08:26.969035"
562;"It depend where you are.";"It depends where you are.";"Subject-Verb Agreement (he/she/it)";"2024-08-07 09:08:26.969035"
563;"He don't like to dance.";"He doesn't like to dance.";"Subject-Verb Agreement (he/she/it)";"2024-08-07 09:08:26.969035"
564;"They was in Thailand.";"They were in Thailand.";"Subject-Verb Agreement (he/she/it)";"2024-08-07 09:08:26.969035"
565;"He don't have enough money.";"He doesn't have enough money.";"Subject-Verb Agreement (he/she/it)";"2024-08-07 09:08:26.969035"
566;"Complaining don't help you sove your problems.";"Complaining doesn't help you sove your problems.";"Subject-Verb Agreement (he/she/it)";"2024-08-07 09:08:26.969035"
567;"I like people that has red hair.";"I like people that have red hair.";"Subject-Verb Agreement (he/she/it)";"2024-08-07 09:08:26.969035"
568;"People who works on an airplane only have life insurance.";"People who work on an airplane only have life insurance.";"Subject-Verb Agreement (he/she/it)";"2024-08-07 09:08:26.969035"
569;"The people was just taking photos and not looking at the painting.";"The people were just taking photos and not looking at the painting.";"Subject-Verb Agreement (he/she/it)";"2024-08-07 09:08:26.969035"
570;"He do anything he can to keep the family together.";"He does anything he can to keep the family together.";"Subject-Verb Agreement (he/she/it)";"2024-08-07 09:08:26.969035"
571;"They was sitting together.";"They were sitting together.";"Subject-Verb Agreement (he/she/it)";"2024-08-07 09:08:26.969035"
572;"They was always so nice.";"They were always so nice.";"Subject-Verb Agreement (he/she/it)";"2024-08-07 09:08:26.969035"
573;"Everyone have the same problems.";"Everyone has the same problems.";"Subject-Verb Agreement (he/she/it)";"2024-08-07 09:08:26.969035"
574;"He have a lot of movies.";"He has a lot of movies.";"Subject-Verb Agreement (he/she/it)";"2024-08-07 09:08:26.969035"
575;"It have subtitles.";"It has subtitles.";"Subject-Verb Agreement (he/she/it)";"2024-08-07 09:08:26.969035"
576;"The roommate have to leave because he does something bad.";"The roommate has to leave because he does something bad.";"Subject-Verb Agreement (he/she/it)";"2024-08-07 09:08:26.969035"
577;"She's the one who have to leave.";"She's the one who has to leave.";"Subject-Verb Agreement (he/she/it)";"2024-08-07 09:08:26.969035"
578;"The plot twist in the last episode change the whole series.";"The plot twist in the last episode changes the whole series.";"Subject-Verb Agreement (he/she/it)";"2024-08-07 09:08:26.969035"
579;"Not everybody have the same habits.";"Not everybody has the same habits.";"Subject-Verb Agreement (he/she/it)";"2024-08-07 09:08:26.969035"
580;"My sister always say I snore.";"My sister always says I snore.";"Subject-Verb Agreement (he/she/it)";"2024-08-07 09:08:26.969035"
581;"My mother always watch football on TV.";"My mother always watches football on TV.";"Subject-Verb Agreement (he/she/it)";"2024-08-07 09:08:26.969035"
582;"Some people has luck.";"Some people are lucky.
Some people have luck.";"Subject-Verb Agreement (he/she/it)";"2024-08-07 09:08:26.969035"
583;"Some people doesn't have a talent for singing.";"Some people don't have a talent for singing.";"Subject-Verb Agreement (he/she/it)";"2024-08-07 09:08:26.969035"
584;"They was talking about the Blarney Stone.";"They were talking about the Blarney Stone.";"Subject-Verb Agreement (he/she/it)";"2024-08-07 09:08:26.969035"
585;"I have a client that live closeby.";"I have a client that lives closeby.";"Subject-Verb Agreement (he/she/it)";"2024-08-07 09:08:26.969035"
586;"The people who is there really need a job.";"The people who are there really need jobs.";"Subject-Verb Agreement (he/she/it)";"2024-08-07 09:08:26.969035"
587;"I consider myself someone who enjoy nature.";"I consider myself someone who enjoys nature.";"Subject-Verb Agreement (he/she/it)";"2024-08-07 09:08:26.969035"
588;"We didn't understand nothing.";"We didn't understand anything.";"Some Any No";"2024-08-07 09:08:26.969035"
589;"He helped them without saying nothing.";"He helped them without saying anything.";"Some Any No";"2024-08-07 09:08:26.969035"
590;"I don't understand nothing you say.";"I don't understand anything you say.";"Some Any No";"2024-08-07 09:08:26.969035"
591;"I don't remember nothing.";"I don't remember anything.";"Some Any No";"2024-08-07 09:08:26.969035"
592;"I wouldn't do nothing.";"I wouldn't do anything.";"Some Any No";"2024-08-07 09:08:26.969035"
593;"I didn't know nothing about the story.";"I didn't know anything about the story.";"Some Any No";"2024-08-07 09:08:26.969035"
594;"The company doesn't pay nothing.";"The company doesn't pay anything.";"Some Any No";"2024-08-07 09:08:26.969035"
595;"Anyone went there because it was too far.";"No one went there because it was too far.
Nobody went there because it was too far.";"Some Any No";"2024-08-07 09:08:26.969035"
596;"Anybody in my family wants to have children.";"No one in my family wants to have children.
Nobody in my family wants to have children.";"Some Any No";"2024-08-07 09:08:26.969035"
597;"Anybody had told me, so it wasn't my fault.";"No one had told me, so it wasn't my fault.
Nobody had told me, so it wasn't my fault.";"Some Any No";"2024-08-07 09:08:26.969035"
598;"Anybody asked me nothing.";"Nobody asked me anything.";"Some Any No";"2024-08-07 09:08:26.969035"
599;"If anybody worked, we wouldn't have food.";"If nobody worked, we wouldn't have food.";"Some Any No";"2024-08-07 09:08:26.969035"
600;"Anybody suspected her because she was elderly.";"Nobody suspected her because she was elderly.";"Some Any No";"2024-08-07 09:08:26.969035"
601;"You can't do nothing physical after eating it.";"You can't do anything physical after eating it.";"Some Any No";"2024-08-07 09:08:26.969035"
602;"After that I don't remember nothing.";"After that I don't remember anything.";"Some Any No";"2024-08-07 09:08:26.969035"
603;"She started with anything and became a billionaire.";"She started with nothing and became a billionaire.";"Some Any No";"2024-08-07 09:08:26.969035"
604;"Normally, you don't use your brain for almost nothing.";"Normally, you don't use your brain for almost anything.";"Some Any No";"2024-08-07 09:08:26.969035"
605;"I don't know nothing.";"I don't know anything.";"Some Any No";"2024-08-07 09:08:26.969035"
606;"What did you do? Anything.";"What did you do? Nothing.";"Some Any No";"2024-08-07 09:08:26.969035"
607;"I haven't been thinking about nothing.";"I haven't been thinking about anything.";"Some Any No";"2024-08-07 09:08:26.969035"
608;"I lock my phone so anyone can use it.";"I lock my phone so no one can use it.";"Some Any No";"2024-08-07 09:08:26.969035"
609;"Usually when I go anywhere, I ask my brother to look after my dog.";"Usually when I go somewhere, I ask my brother to look after my dog.";"Some Any No";"2024-08-07 09:08:26.969035"
610;"When I first arrived, I almost couldn't say nothing.";"When I first arrived, I almost couldn't say anything.";"Some Any No";"2024-08-07 09:08:26.969035"
611;"In the background of the picture, there are any trees.";"In the background of the picture, there are some trees.";"Some Any No";"2024-08-07 09:08:26.969035"
612;"I don't have patience for nothing.";"I don't have patience for anything.";"Some Any No";"2024-08-07 09:08:26.969035"
613;"I don't know nothing about that.";"I don't know anything about that.";"Some Any No";"2024-08-07 09:08:26.969035"
614;"He started over in another city where anyone knew him.";"He started over in another city where no one knew him.";"Some Any No";"2024-08-07 09:08:26.969035"
615;"People don't have where to live.";"People don't have anywhere to live.";"Word Confusion
Some Any No";"2024-08-07 09:08:26.969035"
616;"The stone was really heavy, so anyone could have carried it.";"The stone was really heavy, so no one could have carried it.";"Some Any No";"2024-08-07 09:08:26.969035"
617;"My mom asked me what I would go to do after living in Ireland.";"My mom asked me what I was going to do after living in Ireland.";"Tenses
Reported Speech";"2024-08-07 09:08:26.969035"
618;"I said I bought tickets to go to Brazil in October.";"I said I had bought tickets to go to Brazil in October.";"Reported Speech";"2024-08-07 09:08:26.969035"
619;"I asked him what was a typical day.";"I asked him what a typical day was.";"Word Order
Reported Speech";"2024-08-07 09:08:26.969035"
620;"I told him I would buy you dinner.";"I told him I would buy him dinner.";"Reported Speech";"2024-08-07 09:08:26.969035"
621;"They asked me what was I doing.";"They asked me what I was doing.";"Word Order
Reported Speech";"2024-08-07 09:08:26.969035"
622;"My parents asked me how were going my studies.";"My parents asked me how my studies were going.";"Word Order
Reported Speech";"2024-08-07 09:08:26.969035"
623;"One day I saw a woman sitting on the pavement and I asked her what happened.";"One day I saw a woman sitting on the pavement and I asked her what had happened.";"Tenses
Reported Speech";"2024-08-07 09:08:26.969035"
624;"My landlady say me I can't have pets.";"My landlady said I can't have pets.
My landlady says I can't have pets.
My landlady told me I can't have pets.";"Word Confusion
Subject-Verb Agreement (he/she/it)
Reported Speech";"2024-08-07 09:08:26.969035"
625;"She asked me how was your class.";"She asked me how my class was.";"Reported Speech";"2024-08-07 09:08:26.969035"
626;"There is a killer only kill women.";"There is a killer who only kills women.";"Subject-Verb Agreement (he/she/it)
Relative Clauses";"2024-08-07 09:08:26.969035"
627;"I always push myself to do things who challenge me.";"I always push myself to do things that challenge me.";"Relative Clauses";"2024-08-07 09:08:26.969035"
628;"It's a sport that you have to kick a ball.";"It's a sport where you have to kick a ball.";"Relative Clauses";"2024-08-07 09:08:26.969035"
629;"You know how to make a lemon pie?";"Do you know how to make a lemon pie?";"Questions";"2024-08-07 09:08:26.969035"
630;"It's colder than Ireland?";"Is it colder than Ireland?";"Word Order
Questions";"2024-08-07 09:08:26.969035"
631;"How long she has been working?";"How long has she been working?";"Word Order
Questions";"2024-08-07 09:08:26.969035"
632;"You saw Lord of the Rings?";"Did you see Lord of the Rings?
Have you seen Lord of the Rings?";"Tenses
Questions";"2024-08-07 09:08:26.969035"
633;"How often you call your parents?";"How often do you call your parents?";"Questions";"2024-08-07 09:08:26.969035"
634;"If you don't know the words, how you can speak?";"If you don't know the words, how can you speak?";"Word Order
Questions";"2024-08-07 09:08:26.969035"
635;"Why you couldn't use your card?";"Why couldn't you use your card?";"Questions";"2024-08-07 09:08:26.969035"
636;"How long time you spent there?";"How long did you spend there?";"Questions";"2024-08-07 09:08:26.969035"
637;"What she looks like?";"What does she look like?";"Questions";"2024-08-07 09:08:26.969035"
638;"Why I'm doing this?";"Why am I doing this?";"Word Order
Questions";"2024-08-07 09:08:26.969035"
639;"I'm not too much happy.";"I'm not too happy.";"Quantifiers / Nouns";"2024-08-07 09:08:26.969035"
640;"It's too much hot.";"It's too hot.";"Quantifiers / Nouns";"2024-08-07 09:08:26.969035"
641;"People sometimes get too much angry.";"People sometimes get too angry.";"Quantifiers / Nouns";"2024-08-07 09:08:26.969035"
642;"I don't like having too much things in my house.";"I don't like having too many things in my house.";"Word Confusion
Quantifiers / Nouns";"2024-08-07 09:08:26.969035"
643;"When I'm drunk, I'm so quiet person.";"When I'm drunk, I'm such a quiet person.";"Word Confusion
Quantifiers / Nouns";"2024-08-07 09:08:26.969035"
644;"You don't see so much people in the street.";"You don't see so many people in the street.";"Quantifiers / Nouns";"2024-08-07 09:08:26.969035"
645;"Have you visited some places in Ireland?";"Have you visited any places in Ireland?";"Quantifiers / Nouns";"2024-08-07 09:08:26.969035"
646;"We had much meetings.";"We had a lot of meetings.";"Quantifiers / Nouns";"2024-08-07 09:08:26.969035"
647;"The most part of people enjoy it.";"Most people enjoy it.";"Quantifiers / Nouns";"2024-08-07 09:08:26.969035"
648;"Most of people think that crime is associated with having fewer opportunities.";"Most people think that crime is associated with having fewer opportunities.";"Quantifiers / Nouns";"2024-08-07 09:08:26.969035"
649;"She has many experience.";"She has a lot of experience.
She has lots of experience.";"Quantifiers / Nouns";"2024-08-07 09:08:26.969035"
650;"Long-distance relationships are too much complicated.";"Long-distance relationships are too complicated.";"Quantifiers / Nouns";"2024-08-07 09:08:26.969035"
651;"They have a lot of poor population.";"They have a large poor population.
They have a lot of poor people.";"Quantifiers / Nouns";"2024-08-07 09:08:26.969035"
652;"Now that I'm here, I understand how much my life in Brazil was safe.";"Now that I'm here, I understand how safe my life in Brazil was.";"Word Order
Quantifiers / Nouns";"2024-08-07 09:08:26.969035"
653;"It's so hard work.";"It's such hard work.";"Word Confusion
Quantifiers / Nouns";"2024-08-07 09:08:26.969035"
654;"I can understand most of people.";"I can understand most people.";"Quantifiers / Nouns";"2024-08-07 09:08:26.969035"
655;"Every people can play.";"Everyone can play.";"Quantifiers / Nouns";"2024-08-07 09:08:26.969035"
656;"There are many corruption.";"There is a lot of corruption.";"Quantifiers / Nouns";"2024-08-07 09:08:26.969035"
657;"There are a lot of line-up at the festival.";"There is a big line-up at the festival.
There is a huge line-up at the festival.";"Quantifiers / Nouns";"2024-08-07 09:08:26.969035"
658;"I have some stuffs that I need to do.";"I have some stuff that I need to do.";"Quantifiers / Nouns";"2024-08-07 09:08:26.969035"
659;"There were many turbulence.";"There was a lot of turbulence.";"Subject-Verb Agreement (he/she/it)
Quantifiers / Nouns";"2024-08-07 09:08:26.969035"
660;"Every people have to go out of the city.";"Everyone has to go out of the city.";"Subject-Verb Agreement (he/she/it)
Quantifiers / Nouns";"2024-08-07 09:08:26.969035"
661;"We travelled two hours in airplane.";"We travelled for two hours by airplane.";"Prepositions";"2024-08-07 09:08:26.969035"
662;"In my last birthday, I broke up with my boyfriend.";"On my last birthday, I broke up with my boyfriend.";"Prepositions";"2024-08-07 09:08:26.969035"
663;"My city is famous about its public transport.";"My city is famous for its public transport.";"Prepositions";"2024-08-07 09:08:26.969035"
664;"I'm thinking to send something for him.";"I'm thinking of sending something for him.";"Prepositions";"2024-08-07 09:08:26.969035"
665;"In this moment, I'm saving up to go on holiday.";"At the moment, I'm saving up to go on holiday.";"Prepositions";"2024-08-07 09:08:26.969035"
666;"It can mean different things depending of the context.";"It can mean different things depending on the context.";"Prepositions";"2024-08-07 09:08:26.969035"
667;"I want to work like a lawyer.";"I want to work as a lawyer.";"Prepositions";"2024-08-07 09:08:26.969035"
668;"Depend the person.";"It depends on the person.";"Prepositions";"2024-08-07 09:08:26.969035"
669;"I spend a lot of money with clothes.";"I spend a lot of money on clothes.";"Prepositions";"2024-08-07 09:08:26.969035"
670;"I'm going to home.";"I'm going home.";"Prepositions";"2024-08-07 09:08:26.969035"
671;"You shouldn't lend money for anyone.";"You shouldn't lend money to anyone.";"Prepositions";"2024-08-07 09:08:26.969035"
672;"You dream with your problems.";"You dream about your problems.";"Prepositions";"2024-08-07 09:08:26.969035"
673;"I prefer beer than anything else.";"I prefer beer to anything else.";"Prepositions";"2024-08-07 09:08:26.969035"
674;"There was a big pool into our hotel.";"There was a big pool in our hotel.";"Prepositions";"2024-08-07 09:08:26.969035"
675;"We booked a hotel close the beach and restaurants.";"We booked a hotel close to the beach and restaurants.";"Prepositions";"2024-08-07 09:08:26.969035"
676;"It's near from the capital.";"It's close to the capital.
It's near the capital.";"Prepositions";"2024-08-07 09:08:26.969035"
677;"Because this, they awarded her the first Nobel Prize.";"Because of this, they awarded her the first Nobel Prize.";"Prepositions";"2024-08-07 09:08:26.969035"
678;"It's the biggest animal of the world.";"It's the biggest animal in the world.";"Prepositions";"2024-08-07 09:08:26.969035"
679;"I always spend money in little things.";"I always spend money on little things.";"Prepositions";"2024-08-07 09:08:26.969035"
680;"I worked there while 10 years.";"I worked there for 10 years.";"Prepositions";"2024-08-07 09:08:26.969035"
681;"She's different the others.";"She's different from the others.";"Prepositions";"2024-08-07 09:08:26.969035"
682;"I'm not good in maths.";"I'm not good at maths.";"Prepositions";"2024-08-07 09:08:26.969035"
683;"I try to focus in doing my best.";"I try to focus on doing my best.";"Prepositions";"2024-08-07 09:08:26.969035"
684;"You say this for everyone.";"You say this to everyone.";"Prepositions";"2024-08-07 09:08:26.969035"
685;"She was dependent of him.";"She was dependent on him.";"Prepositions";"2024-08-07 09:08:26.969035"
686;"I work like a cleaner.";"I work as a cleaner.";"Prepositions";"2024-08-07 09:08:26.969035"
687;"Last night I dreamed with you.";"Last night I dreamed about you.";"Prepositions";"2024-08-07 09:08:26.969035"
688;"You have to think in the future.";"You have to think about the future.";"Prepositions";"2024-08-07 09:08:26.969035"
689;"Your impact in the environment is less.";"Your impact on the environment is less.";"Prepositions";"2024-08-07 09:08:26.969035"
690;"I went back to home.";"I went back home.";"Prepositions";"2024-08-07 09:08:26.969035"
691;"I'm a little afraid with water.";"I'm a little afraid of water.";"Prepositions";"2024-08-07 09:08:26.969035"
692;"I have a fear from heights.";"I have a fear of heights.";"Prepositions";"2024-08-07 09:08:26.969035"
693;"My mom lives in a farm.";"My mom lives on a farm.";"Prepositions";"2024-08-07 09:08:26.969035"
694;"If you were raised in meat, it's difficult to go vegan.";"If you were raised on meat, it's difficult to go vegan.";"Prepositions";"2024-08-07 09:08:26.969035"
695;"Get out here!";"Get out of here!";"Prepositions";"2024-08-07 09:08:26.969035"
696;"It Depends of the situation.";"It Depends on the situation.";"Prepositions";"2024-08-07 09:08:26.969035"
697;"It's better to save the money and pay everything at once.";"It's better to save the money and pay for everything at once.";"Prepositions";"2024-08-07 09:08:26.969035"
698;"We have to look another place now.";"We have to look for another place now.";"Prepositions";"2024-08-07 09:08:26.969035"
699;"After this apartment, we moved another place.";"After this apartment, we moved to another place.";"Prepositions";"2024-08-07 09:08:26.969035"
700;"I was always bad in physics.";"I was always bad at physics.";"Prepositions";"2024-08-07 09:08:26.969035"
701;"Did you meet your boyfriend in here?";"Did you meet your boyfriend here?";"Prepositions";"2024-08-07 09:08:26.969035"
702;"I promised to my friend We would have a BBQ when I went to Brazil.";"I promised my friend We would have a BBQ when I went to Brazil.";"Prepositions";"2024-08-07 09:08:26.969035"
703;"I'm allergic of shrimp.";"I'm allergic to shrimp.";"Prepositions";"2024-08-07 09:08:26.969035"
704;"Have you heard about Capoeira?";"Have you heard of Capoeira?";"Prepositions";"2024-08-07 09:08:26.969035"
705;"I'm not so interested about winter sports.";"I'm not so interested in winter sports.";"Prepositions";"2024-08-07 09:08:26.969035"
706;"That's enough to me.";"That's enough for me.";"To / For
Prepositions";"2024-08-07 09:08:26.969035"
707;"How many cities have you been?";"How many cities have you been to?";"Prepositions";"2024-08-07 09:08:26.969035"
